customer_id,age_cat,freq_cat
1,age20~34,freq2
2,age35~49,freq0
3,age35~49,freq0
4,age~19,freq0
5,age35~49,freq0
6,age20~34,freq1
7,age~19,freq1
8,age~19,freq0
9,age35~49,freq0
10,age20~34,freq1
11,age35~49,freq1
12,age35~49,freq1
13,age35~49,freq1
14,age35~49,freq2
15,age35~49,freq0
16,age20~34,freq1
17,age35~49,freq0
18,age50~,freq0
19,age20~34,freq1
20,age~19,freq1
21,age35~49,freq1
22,age20~34,freq1
23,age35~49,freq1
24,age35~49,freq1
25,age~19,freq1
26,age35~49,freq0
27,age20~34,freq3~
28,age~19,freq3~
29,age50~,freq0
30,age20~34,freq0
31,age35~49,freq0
32,age~19,freq0
33,age20~34,freq0
34,age~19,freq0
35,age35~49,freq0
36,age20~34,freq3~
37,age35~49,freq0
38,age20~34,freq3~
39,age20~34,freq1
40,age20~34,freq0
41,age50~,freq0
42,age35~49,freq0
43,age35~49,freq1
44,age20~34,freq1
45,age50~,freq0
46,age20~34,freq3~
47,age20~34,freq0
48,age~19,freq1
49,age50~,freq0
50,age50~,freq1
51,age35~49,freq1
52,age35~49,freq1
53,age35~49,freq0
54,age35~49,freq1
55,age35~49,freq1
56,age35~49,freq0
57,age35~49,freq1
58,age35~49,freq0
59,age20~34,freq0
60,age35~49,freq0
61,age~19,freq1
62,age20~34,freq0
63,age20~34,freq0
64,age35~49,freq0
65,age~19,freq1
66,age20~34,freq1
67,age50~,freq0
68,age35~49,freq1
69,age~19,freq1
70,age35~49,freq1
71,age20~34,freq3~
72,age50~,freq2
73,age35~49,freq1
74,age20~34,freq0
75,age50~,freq3~
76,age35~49,freq0
77,age35~49,freq1
78,age20~34,freq0
79,age35~49,freq1
80,age20~34,freq1
81,age50~,freq3~
82,age50~,freq0
83,age35~49,freq0
84,age35~49,freq2
85,age20~34,freq1
86,age35~49,freq3~
87,age35~49,freq3~
88,age35~49,freq2
89,age20~34,freq1
90,age50~,freq3~
91,age20~34,freq0
92,age~19,freq2
93,age~19,freq3~
94,age20~34,freq1
95,age20~34,freq0
96,age~19,freq0
97,age35~49,freq3~
98,age50~,freq0
99,age35~49,freq1
100,age20~34,freq0
101,age20~34,freq0
102,age35~49,freq0
103,age~19,freq3~
104,age~19,freq3~
105,age50~,freq0
106,age35~49,freq1
107,age35~49,freq1
108,age~19,freq1
109,age35~49,freq0
110,age35~49,freq3~
111,age20~34,freq1
112,age35~49,freq0
113,age35~49,freq2
114,age35~49,freq3~
115,age35~49,freq0
116,age35~49,freq0
117,age20~34,freq1
118,age20~34,freq0
119,age20~34,freq1
120,age35~49,freq0
121,age20~34,freq1
122,age35~49,freq0
123,age35~49,freq0
124,age35~49,freq0
125,age50~,freq3~
126,age35~49,freq0
127,age35~49,freq0
128,age35~49,freq2
129,age20~34,freq3~
130,age50~,freq1
131,age50~,freq0
132,age35~49,freq1
133,age35~49,freq0
134,age20~34,freq1
135,age~19,freq3~
136,age~19,freq0
137,age35~49,freq0
138,age35~49,freq1
139,age20~34,freq1
140,age35~49,freq0
141,age50~,freq3~
142,age20~34,freq0
143,age20~34,freq0
144,age35~49,freq0
145,age20~34,freq0
146,age35~49,freq0
147,age35~49,freq2
148,age20~34,freq1
149,age35~49,freq1
150,age50~,freq0
151,age50~,freq0
152,age50~,freq0
153,age20~34,freq0
154,age~19,freq3~
155,age35~49,freq0
156,age35~49,freq2
157,age35~49,freq0
158,age20~34,freq1
159,age20~34,freq1
160,age50~,freq1
161,age~19,freq3~
162,age50~,freq3~
163,age20~34,freq0
164,age50~,freq0
165,age50~,freq1
166,age35~49,freq0
167,age35~49,freq3~
168,age35~49,freq0
169,age20~34,freq0
170,age50~,freq0
171,age~19,freq0
172,age50~,freq0
173,age20~34,freq0
174,age20~34,freq0
175,age20~34,freq0
176,age35~49,freq0
177,age50~,freq3~
178,age20~34,freq0
179,age20~34,freq1
180,age35~49,freq0
181,age35~49,freq0
182,age50~,freq1
183,age35~49,freq1
184,age35~49,freq0
185,age20~34,freq0
186,age20~34,freq0
187,age35~49,freq3~
188,age35~49,freq0
189,age20~34,freq0
190,age20~34,freq0
191,age50~,freq1
192,age35~49,freq3~
193,age20~34,freq3~
194,age50~,freq0
195,age35~49,freq1
196,age35~49,freq1
197,age~19,freq0
198,age50~,freq0
199,age20~34,freq2
200,age20~34,freq2
201,age35~49,freq1
202,age20~34,freq0
203,age35~49,freq3~
204,age~19,freq0
205,age35~49,freq1
206,age50~,freq0
207,age35~49,freq0
208,age50~,freq1
209,age50~,freq3~
210,age35~49,freq3~
211,age50~,freq3~
212,age20~34,freq0
213,age~19,freq2
214,age20~34,freq0
215,age35~49,freq3~
216,age35~49,freq0
217,age35~49,freq0
218,age35~49,freq2
219,age50~,freq0
220,age50~,freq3~
221,age~19,freq0
222,age35~49,freq0
223,age20~34,freq0
224,age20~34,freq3~
225,age20~34,freq0
226,age35~49,freq1
227,age50~,freq1
228,age20~34,freq3~
229,age20~34,freq1
230,age50~,freq0
231,age35~49,freq1
232,age~19,freq3~
233,age35~49,freq1
234,age50~,freq2
235,age50~,freq1
236,age35~49,freq0
237,age35~49,freq0
238,age35~49,freq3~
239,age50~,freq1
240,age20~34,freq0
241,age35~49,freq0
242,age20~34,freq0
243,age~19,freq0
244,age35~49,freq0
245,age35~49,freq0
246,age35~49,freq3~
247,age35~49,freq1
248,age50~,freq0
249,age50~,freq0
250,age35~49,freq2
251,age35~49,freq1
252,age20~34,freq0
253,age20~34,freq1
254,age~19,freq0
255,age20~34,freq2
256,age50~,freq1
257,age35~49,freq1
258,age35~49,freq1
259,age50~,freq0
260,age20~34,freq1
261,age50~,freq0
262,age20~34,freq1
263,age50~,freq2
264,age35~49,freq1
265,age35~49,freq0
266,age35~49,freq0
267,age50~,freq2
268,age20~34,freq0
269,age20~34,freq2
270,age50~,freq0
271,age20~34,freq0
272,age35~49,freq1
273,age35~49,freq3~
274,age~19,freq0
275,age35~49,freq0
276,age20~34,freq0
277,age20~34,freq0
278,age~19,freq3~
279,age50~,freq0
280,age20~34,freq1
281,age~19,freq2
282,age50~,freq3~
283,age35~49,freq1
284,age50~,freq0
285,age35~49,freq1
286,age50~,freq3~
287,age20~34,freq1
288,age20~34,freq1
289,age35~49,freq1
290,age35~49,freq3~
291,age35~49,freq0
292,age20~34,freq3~
293,age20~34,freq1
294,age20~34,freq3~
295,age~19,freq1
296,age20~34,freq1
297,age20~34,freq1
298,age20~34,freq3~
299,age20~34,freq0
300,age35~49,freq0
301,age35~49,freq0
302,age50~,freq3~
303,age35~49,freq0
304,age35~49,freq0
305,age35~49,freq2
306,age~19,freq1
307,age35~49,freq3~
308,age20~34,freq0
309,age35~49,freq1
310,age~19,freq0
311,age20~34,freq0
312,age35~49,freq2
313,age50~,freq0
314,age~19,freq1
315,age35~49,freq2
316,age35~49,freq1
317,age50~,freq3~
318,age50~,freq1
319,age20~34,freq2
320,age35~49,freq0
321,age20~34,freq0
322,age35~49,freq3~
323,age35~49,freq0
324,age35~49,freq0
325,age35~49,freq1
326,age35~49,freq0
327,age35~49,freq0
328,age~19,freq0
329,age~19,freq0
330,age20~34,freq0
331,age35~49,freq1
332,age20~34,freq0
333,age50~,freq0
334,age35~49,freq1
335,age35~49,freq3~
336,age20~34,freq0
337,age20~34,freq3~
338,age35~49,freq1
339,age20~34,freq3~
340,age35~49,freq0
341,age35~49,freq0
342,age~19,freq3~
343,age35~49,freq3~
344,age20~34,freq0
345,age20~34,freq1
346,age50~,freq0
347,age50~,freq0
348,age20~34,freq0
349,age35~49,freq1
350,age20~34,freq3~
351,age20~34,freq3~
352,age20~34,freq0
353,age20~34,freq3~
354,age35~49,freq1
355,age35~49,freq1
356,age50~,freq1
357,age35~49,freq2
358,age~19,freq0
359,age35~49,freq1
360,age35~49,freq1
361,age35~49,freq1
362,age20~34,freq1
363,age50~,freq2
364,age35~49,freq3~
365,age20~34,freq0
366,age20~34,freq0
367,age~19,freq0
368,age35~49,freq0
369,age50~,freq0
370,age20~34,freq1
371,age35~49,freq0
372,age35~49,freq0
373,age50~,freq2
374,age35~49,freq3~
375,age50~,freq2
376,age20~34,freq3~
377,age35~49,freq1
378,age~19,freq3~
379,age20~34,freq0
380,age50~,freq0
381,age35~49,freq3~
382,age~19,freq0
383,age35~49,freq1
384,age~19,freq3~
385,age35~49,freq0
386,age35~49,freq1
387,age35~49,freq2
388,age35~49,freq0
389,age35~49,freq3~
390,age20~34,freq1
391,age20~34,freq1
392,age35~49,freq1
393,age35~49,freq3~
394,age35~49,freq3~
395,age20~34,freq1
396,age~19,freq0
397,age35~49,freq0
398,age50~,freq1
399,age20~34,freq2
400,age50~,freq1
401,age50~,freq0
402,age20~34,freq3~
403,age~19,freq3~
404,age~19,freq0
405,age35~49,freq0
406,age35~49,freq0
407,age50~,freq0
408,age~19,freq0
409,age50~,freq0
410,age35~49,freq3~
411,age~19,freq0
412,age35~49,freq1
413,age35~49,freq0
414,age50~,freq0
415,age20~34,freq1
416,age50~,freq0
417,age35~49,freq0
418,age35~49,freq1
419,age35~49,freq3~
420,age20~34,freq0
421,age35~49,freq0
422,age35~49,freq0
423,age50~,freq0
424,age50~,freq3~
425,age50~,freq3~
426,age20~34,freq2
427,age~19,freq1
428,age50~,freq1
429,age50~,freq1
430,age35~49,freq1
431,age35~49,freq1
432,age35~49,freq1
433,age35~49,freq1
434,age20~34,freq0
435,age35~49,freq1
436,age20~34,freq1
437,age50~,freq0
438,age~19,freq0
439,age50~,freq0
440,age20~34,freq1
441,age20~34,freq0
442,age20~34,freq1
443,age~19,freq0
444,age20~34,freq0
445,age35~49,freq0
446,age20~34,freq0
447,age35~49,freq0
448,age35~49,freq1
449,age35~49,freq0
450,age35~49,freq1
451,age35~49,freq0
452,age35~49,freq1
453,age20~34,freq0
454,age50~,freq3~
455,age50~,freq0
456,age20~34,freq2
457,age20~34,freq0
458,age35~49,freq0
459,age20~34,freq2
460,age50~,freq0
461,age35~49,freq0
462,age~19,freq0
463,age20~34,freq3~
464,age20~34,freq1
465,age35~49,freq1
466,age35~49,freq2
467,age35~49,freq2
468,age35~49,freq2
469,age35~49,freq3~
470,age35~49,freq0
471,age35~49,freq3~
472,age35~49,freq2
473,age50~,freq1
474,age20~34,freq1
475,age20~34,freq1
476,age20~34,freq0
477,age50~,freq1
478,age20~34,freq0
479,age20~34,freq1
480,age35~49,freq3~
481,age35~49,freq1
482,age35~49,freq0
483,age~19,freq0
484,age50~,freq1
485,age50~,freq0
486,age35~49,freq1
487,age35~49,freq3~
488,age35~49,freq3~
489,age20~34,freq1
490,age35~49,freq3~
491,age35~49,freq0
492,age35~49,freq1
493,age50~,freq0
494,age20~34,freq0
495,age35~49,freq0
496,age35~49,freq1
497,age35~49,freq1
498,age20~34,freq1
499,age35~49,freq0
500,age35~49,freq2
501,age20~34,freq0
502,age50~,freq0
503,age20~34,freq3~
504,age35~49,freq0
505,age35~49,freq2
506,age20~34,freq0
507,age20~34,freq0
508,age20~34,freq3~
509,age20~34,freq0
510,age35~49,freq0
511,age20~34,freq2
512,age20~34,freq1
513,age20~34,freq0
514,age35~49,freq0
515,age35~49,freq1
516,age~19,freq3~
517,age35~49,freq0
518,age50~,freq0
519,age35~49,freq0
520,age50~,freq0
521,age20~34,freq1
522,age35~49,freq3~
523,age50~,freq0
524,age20~34,freq0
525,age50~,freq1
526,age35~49,freq0
527,age50~,freq0
528,age50~,freq1
529,age35~49,freq1
530,age~19,freq0
531,age35~49,freq3~
532,age50~,freq2
533,age20~34,freq0
534,age50~,freq0
535,age35~49,freq0
536,age35~49,freq1
537,age20~34,freq3~
538,age20~34,freq0
539,age50~,freq0
540,age~19,freq1
541,age20~34,freq3~
542,age35~49,freq3~
543,age35~49,freq0
544,age35~49,freq2
545,age35~49,freq3~
546,age35~49,freq1
547,age~19,freq1
548,age35~49,freq0
549,age35~49,freq3~
550,age35~49,freq0
551,age35~49,freq2
552,age50~,freq0
553,age50~,freq1
554,age35~49,freq0
555,age50~,freq3~
556,age35~49,freq1
557,age50~,freq1
558,age35~49,freq2
559,age50~,freq0
560,age35~49,freq0
561,age20~34,freq3~
562,age20~34,freq0
563,age50~,freq3~
564,age20~34,freq1
565,age35~49,freq3~
566,age35~49,freq0
567,age50~,freq1
568,age20~34,freq1
569,age35~49,freq0
570,age35~49,freq0
571,age50~,freq0
572,age35~49,freq1
573,age20~34,freq0
574,age35~49,freq0
575,age20~34,freq2
576,age35~49,freq1
577,age20~34,freq2
578,age35~49,freq1
579,age50~,freq0
580,age50~,freq0
581,age20~34,freq0
582,age35~49,freq3~
583,age20~34,freq0
584,age35~49,freq3~
585,age~19,freq2
586,age35~49,freq3~
587,age35~49,freq0
588,age35~49,freq1
589,age20~34,freq1
590,age35~49,freq0
591,age50~,freq0
592,age35~49,freq1
593,age35~49,freq0
594,age35~49,freq3~
595,age35~49,freq0
596,age20~34,freq1
597,age50~,freq1
598,age50~,freq3~
599,age20~34,freq0
600,age35~49,freq1
601,age50~,freq3~
602,age35~49,freq3~
603,age20~34,freq1
604,age50~,freq0
605,age35~49,freq1
606,age50~,freq1
607,age35~49,freq1
608,age50~,freq3~
609,age50~,freq1
610,age20~34,freq3~
611,age35~49,freq3~
612,age50~,freq2
613,age20~34,freq1
614,age35~49,freq0
615,age20~34,freq0
616,age35~49,freq0
617,age20~34,freq0
618,age50~,freq1
619,age~19,freq0
620,age~19,freq0
621,age20~34,freq3~
622,age20~34,freq0
623,age50~,freq0
624,age50~,freq3~
625,age20~34,freq1
626,age20~34,freq1
627,age20~34,freq1
628,age35~49,freq3~
629,age50~,freq3~
630,age~19,freq0
631,age50~,freq1
632,age20~34,freq1
633,age20~34,freq1
634,age35~49,freq1
635,age35~49,freq3~
636,age35~49,freq1
637,age20~34,freq0
638,age35~49,freq3~
639,age20~34,freq0
640,age50~,freq0
641,age~19,freq3~
642,age20~34,freq2
643,age~19,freq3~
644,age20~34,freq0
645,age50~,freq0
646,age50~,freq1
647,age35~49,freq3~
648,age20~34,freq2
649,age35~49,freq0
650,age35~49,freq0
651,age35~49,freq1
652,age50~,freq0
653,age35~49,freq1
654,age50~,freq3~
655,age~19,freq1
656,age~19,freq2
657,age35~49,freq1
658,age50~,freq0
659,age20~34,freq1
660,age35~49,freq0
661,age35~49,freq1
662,age20~34,freq0
663,age35~49,freq3~
664,age50~,freq1
665,age35~49,freq2
666,age35~49,freq0
667,age35~49,freq3~
668,age35~49,freq0
669,age20~34,freq3~
670,age20~34,freq0
671,age20~34,freq3~
672,age35~49,freq1
673,age20~34,freq2
674,age35~49,freq1
675,age50~,freq2
676,age35~49,freq1
677,age20~34,freq0
678,age35~49,freq1
679,age20~34,freq0
680,age35~49,freq1
681,age35~49,freq1
682,age35~49,freq1
683,age35~49,freq0
684,age35~49,freq0
685,age20~34,freq0
686,age35~49,freq0
687,age35~49,freq0
688,age20~34,freq3~
689,age20~34,freq3~
690,age50~,freq1
691,age20~34,freq0
692,age20~34,freq1
693,age50~,freq0
694,age20~34,freq0
695,age20~34,freq0
696,age~19,freq0
697,age50~,freq0
698,age35~49,freq3~
699,age20~34,freq2
700,age50~,freq3~
701,age20~34,freq0
702,age35~49,freq0
703,age20~34,freq2
704,age~19,freq0
705,age20~34,freq0
706,age~19,freq1
707,age20~34,freq0
708,age50~,freq1
709,age50~,freq0
710,age20~34,freq3~
711,age35~49,freq2
712,age35~49,freq2
713,age35~49,freq0
714,age35~49,freq1
715,age~19,freq0
716,age20~34,freq0
717,age50~,freq3~
718,age50~,freq0
719,age35~49,freq1
720,age20~34,freq2
721,age35~49,freq1
722,age35~49,freq0
723,age35~49,freq3~
724,age20~34,freq3~
725,age35~49,freq0
726,age50~,freq0
727,age50~,freq3~
728,age35~49,freq0
729,age35~49,freq0
730,age35~49,freq3~
731,age20~34,freq3~
732,age20~34,freq0
733,age20~34,freq0
734,age35~49,freq0
735,age20~34,freq1
736,age35~49,freq0
737,age20~34,freq1
738,age35~49,freq3~
739,age35~49,freq1
740,age20~34,freq1
741,age20~34,freq1
742,age50~,freq2
743,age20~34,freq0
744,age35~49,freq0
745,age~19,freq0
746,age50~,freq2
747,age20~34,freq2
748,age35~49,freq2
749,age35~49,freq1
750,age50~,freq0
751,age20~34,freq2
752,age20~34,freq0
753,age35~49,freq2
754,age50~,freq2
755,age35~49,freq0
756,age35~49,freq1
757,age35~49,freq2
758,age~19,freq0
759,age50~,freq2
760,age20~34,freq0
761,age35~49,freq3~
762,age20~34,freq3~
763,age35~49,freq2
764,age20~34,freq3~
765,age50~,freq1
766,age50~,freq1
767,age35~49,freq0
768,age20~34,freq0
769,age20~34,freq1
770,age20~34,freq0
771,age35~49,freq0
772,age35~49,freq2
773,age35~49,freq3~
774,age35~49,freq0
775,age35~49,freq3~
776,age~19,freq3~
777,age35~49,freq0
778,age50~,freq1
779,age20~34,freq0
780,age35~49,freq2
781,age20~34,freq3~
782,age50~,freq3~
783,age20~34,freq0
784,age35~49,freq0
785,age35~49,freq0
786,age50~,freq1
787,age20~34,freq2
788,age35~49,freq1
789,age35~49,freq0
790,age35~49,freq0
791,age35~49,freq0
792,age20~34,freq0
793,age20~34,freq0
794,age~19,freq0
795,age20~34,freq0
796,age35~49,freq0
797,age20~34,freq2
798,age20~34,freq3~
799,age35~49,freq0
800,age20~34,freq0
801,age50~,freq2
802,age35~49,freq0
803,age50~,freq3~
804,age20~34,freq0
805,age~19,freq1
806,age20~34,freq0
807,age20~34,freq0
808,age35~49,freq1
809,age~19,freq1
810,age20~34,freq1
811,age20~34,freq3~
812,age35~49,freq3~
813,age20~34,freq3~
814,age35~49,freq0
815,age20~34,freq1
816,age35~49,freq0
817,age20~34,freq0
818,age20~34,freq0
819,age35~49,freq1
820,age20~34,freq1
821,age35~49,freq1
822,age20~34,freq1
823,age35~49,freq3~
824,age50~,freq0
825,age50~,freq3~
826,age20~34,freq3~
827,age~19,freq0
828,age35~49,freq1
829,age35~49,freq1
830,age~19,freq3~
831,age~19,freq2
832,age50~,freq0
833,age35~49,freq3~
834,age~19,freq3~
835,age20~34,freq0
836,age20~34,freq3~
837,age20~34,freq0
838,age~19,freq1
839,age~19,freq3~
840,age35~49,freq0
841,age50~,freq0
842,age35~49,freq0
843,age20~34,freq1
844,age35~49,freq1
845,age20~34,freq3~
846,age20~34,freq1
847,age20~34,freq2
848,age50~,freq1
849,age20~34,freq0
850,age35~49,freq3~
851,age20~34,freq1
852,age20~34,freq2
853,age50~,freq3~
854,age35~49,freq1
855,age50~,freq1
856,age20~34,freq0
857,age~19,freq1
858,age35~49,freq0
859,age50~,freq2
860,age35~49,freq1
861,age50~,freq2
862,age~19,freq3~
863,age20~34,freq1
864,age35~49,freq3~
865,age50~,freq1
866,age50~,freq1
867,age20~34,freq3~
868,age20~34,freq1
869,age35~49,freq0
870,age35~49,freq1
871,age35~49,freq0
872,age50~,freq2
873,age~19,freq0
874,age50~,freq2
875,age35~49,freq1
876,age20~34,freq3~
877,age20~34,freq1
878,age35~49,freq0
879,age35~49,freq1
880,age35~49,freq0
881,age50~,freq3~
882,age20~34,freq0
883,age20~34,freq3~
884,age35~49,freq1
885,age50~,freq1
886,age35~49,freq1
887,age35~49,freq1
888,age35~49,freq0
889,age35~49,freq1
890,age20~34,freq3~
891,age35~49,freq3~
892,age35~49,freq3~
893,age35~49,freq3~
894,age35~49,freq0
895,age20~34,freq1
896,age35~49,freq3~
897,age35~49,freq0
898,age20~34,freq1
899,age50~,freq0
900,age20~34,freq0
901,age35~49,freq2
902,age20~34,freq2
903,age35~49,freq0
904,age20~34,freq0
905,age20~34,freq1
906,age20~34,freq1
907,age~19,freq0
908,age35~49,freq1
909,age50~,freq2
910,age35~49,freq0
911,age~19,freq0
912,age35~49,freq0
913,age35~49,freq0
914,age20~34,freq3~
915,age20~34,freq0
916,age35~49,freq3~
917,age~19,freq0
918,age50~,freq0
919,age35~49,freq0
920,age35~49,freq0
921,age20~34,freq0
922,age20~34,freq2
923,age20~34,freq0
924,age35~49,freq1
925,age~19,freq0
926,age50~,freq3~
927,age35~49,freq2
928,age35~49,freq2
929,age20~34,freq1
930,age50~,freq3~
931,age20~34,freq3~
932,age~19,freq2
933,age35~49,freq0
934,age~19,freq3~
935,age50~,freq1
936,age20~34,freq1
937,age35~49,freq1
938,age35~49,freq1
939,age50~,freq0
940,age50~,freq1
941,age35~49,freq2
942,age20~34,freq1
943,age20~34,freq1
944,age35~49,freq3~
945,age20~34,freq0
946,age35~49,freq3~
947,age~19,freq1
948,age50~,freq1
949,age35~49,freq2
950,age35~49,freq0
951,age20~34,freq3~
952,age35~49,freq1
953,age35~49,freq0
954,age35~49,freq1
955,age35~49,freq1
956,age50~,freq1
957,age50~,freq3~
958,age35~49,freq0
959,age35~49,freq0
960,age20~34,freq1
961,age35~49,freq0
962,age35~49,freq2
963,age35~49,freq1
964,age35~49,freq1
965,age50~,freq0
966,age20~34,freq1
967,age50~,freq2
968,age20~34,freq0
969,age50~,freq3~
970,age~19,freq1
971,age50~,freq0
972,age20~34,freq3~
973,age35~49,freq0
974,age~19,freq3~
975,age50~,freq2
976,age20~34,freq2
977,age35~49,freq0
978,age20~34,freq0
979,age50~,freq0
980,age35~49,freq1
981,age20~34,freq3~
982,age~19,freq0
983,age20~34,freq0
984,age35~49,freq0
985,age20~34,freq3~
986,age35~49,freq3~
987,age35~49,freq1
988,age35~49,freq1
989,age~19,freq3~
990,age20~34,freq0
991,age20~34,freq1
992,age50~,freq3~
993,age50~,freq1
994,age20~34,freq0
995,age50~,freq1
996,age~19,freq2
997,age35~49,freq3~
998,age35~49,freq0
999,age35~49,freq1
1000,age50~,freq0
1001,age50~,freq0
1002,age35~49,freq0
1003,age20~34,freq1
1004,age35~49,freq0
1005,age20~34,freq1
1006,age35~49,freq0
1007,age35~49,freq0
1008,age35~49,freq0
1009,age20~34,freq0
1010,age35~49,freq1
1011,age50~,freq1
1012,age35~49,freq3~
1013,age~19,freq0
1014,age35~49,freq1
1015,age20~34,freq1
1016,age50~,freq1
1017,age35~49,freq1
1018,age35~49,freq0
1019,age20~34,freq1
1020,age35~49,freq1
1021,age20~34,freq3~
1022,age20~34,freq1
1023,age20~34,freq0
1024,age35~49,freq3~
1025,age50~,freq2
1026,age20~34,freq2
1027,age20~34,freq0
1028,age20~34,freq1
1029,age50~,freq2
1030,age35~49,freq0
1031,age35~49,freq1
1032,age35~49,freq3~
1033,age20~34,freq1
1034,age~19,freq2
1035,age35~49,freq1
1036,age~19,freq1
1037,age20~34,freq0
1038,age20~34,freq0
1039,age50~,freq0
1040,age50~,freq0
1041,age20~34,freq1
1042,age20~34,freq1
1043,age~19,freq1
